Bin_center_value,Bin_counts,Land_type
0.286110754,0,cloud
0.286254113,0,cloud
0.286397473,1,cloud
0.286540832,0,cloud
0.286684191,0,cloud
0.286827551,0,cloud
0.28697091,0,cloud
0.287114269,0,cloud
0.287257629,1,cloud
0.287400988,0,cloud
0.287544348,0,cloud
0.287687707,0,cloud
0.287831066,0,cloud
0.287974426,1,cloud
0.288117785,0,cloud
0.288261145,0,cloud
0.288404504,0,cloud
0.288547863,0,cloud
0.288691223,0,cloud
0.288834582,0,cloud
0.288977941,0,cloud
0.289121301,0,cloud
0.28926466,0,cloud
0.28940802,0,cloud
0.289551379,0,cloud
0.289694738,0,cloud
0.289838098,0,cloud
0.289981457,0,cloud
0.290124817,0,cloud
0.290268176,0,cloud
0.290411535,0,cloud
0.290554895,0,cloud
0.290698254,0,cloud
0.290841614,1,cloud
0.290984973,0,cloud
0.291128332,1,cloud
0.064587307,1,land
0.064961916,0,land
0.065336526,0,land
0.065711135,2,land
0.066085744,0,land
0.066460354,1,land
0.066834963,0,land
0.067209572,0,land
0.067584182,0,land
0.067958791,0,land
0.0683334,0,land
0.06870801,0,land
0.069082619,0,land
0.069457228,0,land
0.069831838,0,land
0.070206447,0,land
0.070581057,0,land
0.070955666,1,land
0.071330275,1,land
0.071704885,0,land
0.072079494,1,land
0.072454103,0,land
0.072828713,4,land
0.073203322,3,land
0.073577931,0,land
0.073952541,2,land
0.07432715,4,land
0.074701759,1,land
0.075076369,2,land
0.075450978,4,land
0.075825587,0,land
0.076200197,0,land
0.076574806,1,land
0.076949415,1,land
0.077324025,2,land
0.077698634,0,land
0.078073243,3,land
0.078447853,0,land
0.078822462,0,land
0.079197071,3,land
0.079571681,1,land
0.07994629,4,land
0.080320899,5,land
0.080695509,5,land
0.081070118,1,land
0.081444727,3,land
0.081819337,5,land
0.082193946,5,land
0.082568555,1,land
0.082943165,4,land
0.083317774,5,land
0.083692384,3,land
0.084066993,4,land
0.084441602,2,land
0.084816212,9,land
0.085190821,3,land
0.08556543,5,land
0.08594004,2,land
0.086314649,4,land
0.086689258,2,land
0.087063868,5,land
0.087438477,2,land
0.087813086,5,land
0.088187696,4,land
0.088562305,3,land
0.088936914,2,land
0.089311524,5,land
0.089686133,4,land
0.090060742,7,land
0.090435352,3,land
0.090809961,6,land
0.09118457,10,land
0.09155918,6,land
0.091933789,10,land
0.092308398,4,land
0.092683008,7,land
0.093057617,11,land
0.093432226,11,land
0.093806836,9,land
0.094181445,4,land
0.094556054,10,land
0.094930664,8,land
0.095305273,10,land
0.095679882,6,land
0.096054492,10,land
0.096429101,18,land
0.09680371,12,land
0.09717832,12,land
0.097552929,13,land
0.097927539,10,land
0.098302148,11,land
0.098676757,8,land
0.099051367,6,land
0.099425976,19,land
0.099800585,9,land
0.100175195,8,land
0.100549804,16,land
0.100924413,15,land
0.101299023,12,land
0.101673632,14,land
0.102048241,18,land
0.102422851,14,land
0.10279746,12,land
0.103172069,13,land
0.103546679,20,land
0.103921288,13,land
0.104295897,21,land
0.104670507,11,land
0.105045116,17,land
0.105419725,12,land
0.105794335,10,land
0.106168944,13,land
0.106543553,16,land
0.106918163,21,land
0.107292772,19,land
0.107667381,19,land
0.108041991,17,land
0.1084166,23,land
0.108791209,4,land
0.109165819,16,land
0.109540428,23,land
0.109915037,25,land
0.110289647,22,land
0.110664256,32,land
0.111038866,21,land
0.111413475,34,land
0.111788084,13,land
0.112162694,24,land
0.112537303,34,land
0.112911912,30,land
0.113286522,15,land
0.113661131,35,land
0.11403574,20,land
0.11441035,10,land
0.114784959,34,land
0.115159568,36,land
0.115534178,20,land
0.115908787,21,land
0.116283396,27,land
0.116658006,24,land
0.117032615,32,land
0.117407224,19,land
0.117781834,31,land
0.118156443,24,land
0.118531052,21,land
0.118905662,28,land
0.119280271,30,land
0.11965488,41,land
0.12002949,38,land
0.120404099,9,land
0.120778708,33,land
0.121153318,32,land
0.121527927,39,land
0.121902536,28,land
0.122277146,36,land
0.122651755,43,land
0.123026364,43,land
0.123400974,21,land
0.123775583,38,land
0.124150192,27,land
0.124524802,40,land
0.124899411,35,land
0.125274021,36,land
0.12564863,48,land
0.126023239,47,land
0.126397849,13,land
0.126772458,48,land
0.127147067,34,land
0.127521677,23,land
0.127896286,31,land
0.128270895,49,land
0.128645505,47,land
0.129020114,47,land
0.129394723,27,land
0.129769333,31,land
0.130143942,40,land
0.130518551,32,land
0.130893161,40,land
0.13126777,33,land
0.131642379,36,land
0.132016989,34,land
0.132391598,15,land
0.132766207,32,land
0.133140817,30,land
0.133515426,43,land
0.133890035,50,land
0.134264645,28,land
0.134639254,39,land
0.135013863,23,land
0.135388473,35,land
0.135763082,36,land
0.136137691,36,land
0.136512301,37,land
0.13688691,37,land
0.137261519,38,land
0.137636129,39,land
0.138010738,14,land
0.138385348,43,land
0.138759957,30,land
0.139134566,47,land
0.139509176,39,land
0.139883785,32,land
0.140258394,27,land
0.140633004,27,land
0.141007613,31,land
0.141382222,31,land
0.141756832,47,land
0.142131441,39,land
0.14250605,45,land
0.14288066,51,land
0.143255269,48,land
0.143629878,42,land
0.144004488,29,land
0.144379097,34,land
0.144753706,45,land
0.145128316,36,land
0.145502925,38,land
0.145877534,34,land
0.146252144,30,land
0.146626753,27,land
0.147001362,23,land
0.147375972,45,land
0.147750581,50,land
0.14812519,34,land
0.1484998,30,land
0.148874409,52,land
0.149249018,33,land
0.149623628,33,land
0.149998237,20,land
0.150372846,22,land
0.150747456,29,land
0.151122065,36,land
0.151496675,38,land
0.151871284,30,land
0.152245893,31,land
0.152620503,32,land
0.152995112,9,land
0.153369721,47,land
0.153744331,32,land
0.15411894,29,land
0.154493549,37,land
0.154868159,54,land
0.155242768,32,land
0.155617377,32,land
0.155991987,17,land
0.156366596,37,land
0.156741205,42,land
0.157115815,49,land
0.157490424,31,land
0.157865033,21,land
0.158239643,54,land
0.158614252,15,land
0.158988861,9,land
0.159363471,39,land
0.15973808,23,land
0.160112689,30,land
0.160487299,42,land
0.160861908,29,land
0.161236517,26,land
0.161611127,17,land
0.161985736,25,land
0.162360345,31,land
0.162734955,30,land
0.163109564,22,land
0.163484173,24,land
0.163858783,27,land
0.164233392,27,land
0.164608001,5,land
0.164982611,32,land
0.16535722,31,land
0.16573183,17,land
0.166106439,18,land
0.166481048,19,land
0.166855658,24,land
0.167230267,20,land
0.167604876,14,land
0.167979486,32,land
0.168354095,31,land
0.168728704,18,land
0.169103314,25,land
0.169477923,28,land
0.169852532,20,land
0.170227142,18,land
0.170601751,4,land
0.17097636,24,land
0.17135097,17,land
0.171725579,19,land
0.172100188,29,land
0.172474798,22,land
0.172849407,21,land
0.173224016,16,land
0.173598626,10,land
0.173973235,11,land
0.174347844,27,land
0.174722454,14,land
0.175097063,22,land
0.175471672,14,land
0.175846282,24,land
0.176220891,10,land
0.1765955,9,land
0.17697011,9,land
0.177344719,11,land
0.177719328,8,land
0.178093938,17,land
0.178468547,11,land
0.178843157,11,land
0.179217766,13,land
0.179592375,4,land
0.179966985,10,land
0.180341594,13,land
0.180716203,13,land
0.181090813,10,land
0.181465422,10,land
0.181840031,12,land
0.182214641,11,land
0.18258925,1,land
0.182963859,6,land
0.183338469,10,land
0.183713078,18,land
0.184087687,14,land
0.184462297,11,land
0.184836906,7,land
0.185211515,0,land
0.185586125,4,land
0.185960734,8,land
0.186335343,7,land
0.186709953,8,land
0.187084562,11,land
0.187459171,8,land
0.187833781,3,land
0.18820839,4,land
0.188582999,1,land
0.188957609,3,land
0.189332218,7,land
0.189706827,8,land
0.190081437,9,land
0.190456046,6,land
0.190830655,6,land
0.191205265,1,land
0.191579874,8,land
0.191954483,8,land
0.192329093,4,land
0.192703702,6,land
0.193078312,7,land
0.193452921,7,land
0.19382753,4,land
0.19420214,2,land
0.194576749,4,land
0.194951358,4,land
0.195325968,4,land
0.195700577,3,land
0.196075186,3,land
0.196449796,5,land
0.196824405,7,land
0.197199014,1,land
0.197573624,5,land
0.197948233,7,land
0.198322842,2,land
0.198697452,2,land
0.199072061,4,land
0.19944667,1,land
0.19982128,2,land
0.200195889,2,land
0.200570498,0,land
0.200945108,7,land
0.201319717,2,land
0.201694326,4,land
0.202068936,4,land
0.202443545,3,land
0.202818154,0,land
0.203192764,1,land
0.203567373,0,land
0.203941982,2,land
0.204316592,0,land
0.204691201,3,land
0.20506581,2,land
0.20544042,0,land
0.205815029,2,land
0.206189639,1,land
0.206564248,1,land
0.206938857,1,land
0.207313467,2,land
0.207688076,0,land
0.208062685,0,land
0.208437295,1,land
0.208811904,0,land
0.209186513,4,land
0.209561123,1,land
0.209935732,3,land
0.210310341,0,land
0.210684951,4,land
0.21105956,0,land
0.211434169,1,land
0.211808779,0,land
0.212183388,1,land
0.212557997,2,land
0.212932607,1,land
0.213307216,1,land
0.213681825,0,land
0.214056435,1,land
0.214431044,0,land
0.214805653,0,land
0.215180263,0,land
0.215554872,0,land
0.215929481,1,land
0.216304091,0,land
0.2166787,0,land
0.217053309,0,land
0.217427919,0,land
0.217802528,0,land
0.218177137,0,land
0.218551747,0,land
0.218926356,3,land
0.219300966,2,land
0.219675575,2,land
0.220050184,1,land
0.220424794,1,land
0.220799403,0,land
0.221174012,0,land
0.221548622,0,land
0.221923231,0,land
0.22229784,0,land
0.22267245,0,land
0.223047059,0,land
0.223421668,0,land
0.223796278,0,land
0.224170887,0,land
0.224545496,2,land
0.224920106,1,land
0.225294715,0,land
0.225669324,0,land
0.226043934,1,land
0.226418543,1,land
0.226793152,0,land
0.227167762,0,land
0.227542371,0,land
0.22791698,0,land
0.22829159,0,land
0.228666199,0,land
0.229040808,0,land
0.229415418,0,land
0.229790027,0,land
0.230164636,0,land
0.230539246,0,land
0.230913855,2,land
0.231288464,0,land
0.231663074,0,land
0.232037683,0,land
0.232412292,0,land
0.232786902,0,land
0.233161511,0,land
0.233536121,0,land
0.23391073,0,land
0.234285339,2,land
0.234659949,0,land
0.235034558,0,land
0.235409167,0,land
0.235783777,0,land
0.236158386,0,land
0.236532995,0,land
0.236907605,0,land
0.237282214,0,land
0.237656823,0,land
0.238031433,0,land
0.238406042,0,land
0.238780651,0,land
0.239155261,0,land
0.23952987,0,land
0.239904479,0,land
0.240279089,0,land
0.240653698,1,land
0.241028307,0,land
0.241402917,0,land
0.241777526,0,land
0.242152135,0,land
0.242526745,0,land
0.242901354,0,land
0.243275963,0,land
0.243650573,0,land
0.244025182,0,land
0.244399791,0,land
0.244774401,0,land
0.24514901,0,land
0.245523619,0,land
0.245898229,0,land
0.246272838,0,land
0.246647448,0,land
0.247022057,0,land
0.247396666,0,land
0.247771276,0,land
0.248145885,0,land
0.248520494,0,land
0.248895104,0,land
0.249269713,0,land
0.249644322,0,land
0.250018932,0,land
0.250393541,0,land
0.25076815,0,land
0.25114276,0,land
0.251517369,0,land
0.251891978,0,land
0.252266588,1,land
0.252641197,0,land
0.253015806,0,land
0.253390416,0,land
0.253765025,0,land
0.254139634,0,land
0.254514244,0,land
0.254888853,0,land
0.255263462,0,land
0.255638072,0,land
0.256012681,1,land
0.089153127,2,smog
0.089459377,0,smog
0.089765627,0,smog
0.090071877,0,smog
0.090378127,0,smog
0.090684377,0,smog
0.090990627,0,smog
0.091296877,0,smog
0.091603127,0,smog
0.091909377,0,smog
0.092215627,0,smog
0.092521877,0,smog
0.092828127,0,smog
0.093134377,0,smog
0.093440627,0,smog
0.093746877,0,smog
0.094053127,0,smog
0.094359377,0,smog
0.094665627,0,smog
0.094971877,0,smog
0.095278127,0,smog
0.095584377,0,smog
0.095890627,0,smog
0.096196877,0,smog
0.096503127,0,smog
0.096809377,0,smog
0.097115627,0,smog
0.097421877,0,smog
0.097728127,2,smog
0.098034377,0,smog
0.098340627,1,smog
0.098646877,0,smog
0.098953127,1,smog
0.099259377,0,smog
0.099565627,1,smog
0.099871877,1,smog
0.100178127,0,smog
0.100484377,0,smog
0.100790627,1,smog
0.101096877,0,smog
0.101403127,1,smog
0.101709377,1,smog
0.102015627,0,smog
0.102321877,0,smog
0.102628127,0,smog
0.102934377,2,smog
0.103240627,0,smog
0.103546877,0,smog
0.103853127,0,smog
0.104159377,2,smog
0.104465627,1,smog
0.104771877,0,smog
0.105078127,0,smog
0.105384377,0,smog
0.105690627,1,smog
0.105996877,0,smog
0.106303127,0,smog
0.106609377,1,smog
0.106915627,1,smog
0.107221877,1,smog
0.107528127,0,smog
0.107834377,0,smog
0.108140627,1,smog
0.108446877,0,smog
0.108753127,1,smog
0.109059377,0,smog
0.109365627,0,smog
0.109671877,1,smog
0.109978127,0,smog
0.110284377,1,smog
0.110590627,2,smog
0.110896877,3,smog
0.111203127,0,smog
0.111509377,5,smog
0.111815627,0,smog
0.112121877,1,smog
0.112428127,1,smog
0.112734377,0,smog
0.113040627,0,smog
0.113346877,2,smog
0.113653127,2,smog
0.113959377,1,smog
0.114265627,1,smog
0.114571877,1,smog
0.114878127,1,smog
0.115184377,4,smog
0.115490627,4,smog
0.115796877,1,smog
0.116103127,4,smog
0.116409377,2,smog
0.116715627,4,smog
0.117021877,2,smog
0.117328127,5,smog
0.117634377,3,smog
0.117940627,4,smog
0.118246877,7,smog
0.118553127,5,smog
0.118859377,3,smog
0.119165627,1,smog
0.119471877,1,smog
0.119778127,1,smog
0.120084377,7,smog
0.120390627,2,smog
0.120696877,4,smog
0.121003127,3,smog
0.121309377,6,smog
0.121615627,6,smog
0.121921877,7,smog
0.122228127,3,smog
0.122534377,11,smog
0.122840627,1,smog
0.123146877,11,smog
0.123453127,1,smog
0.123759377,7,smog
0.124065627,11,smog
0.124371877,1,smog
0.124678127,14,smog
0.124984377,4,smog
0.125290627,8,smog
0.125596877,11,smog
0.125903127,12,smog
0.126209377,4,smog
0.126515627,19,smog
0.126821877,7,smog
0.127128127,9,smog
0.127434377,8,smog
0.127740627,16,smog
0.128046877,16,smog
0.128353127,12,smog
0.128659377,16,smog
0.128965627,10,smog
0.129271877,17,smog
0.129578127,7,smog
0.129884377,12,smog
0.130190627,9,smog
0.130496877,13,smog
0.130803127,4,smog
0.131109377,25,smog
0.131415627,9,smog
0.131721877,18,smog
0.132028127,5,smog
0.132334377,23,smog
0.132640627,7,smog
0.132946877,17,smog
0.133253127,23,smog
0.133559377,6,smog
0.133865627,21,smog
0.134171877,6,smog
0.134478127,25,smog
0.134784377,3,smog
0.135090627,15,smog
