Bin_center_value,Bin_counts
0.227167762,0
0.227542371,0
0.22791698,0
0.22829159,0
0.228666199,0
0.229040808,0
0.229415418,0
0.229790027,0
0.230164636,0
0.230539246,0
0.230913855,2
0.231288464,0
0.231663074,0
0.232037683,0
0.232412292,0
0.232786902,0
0.233161511,0
0.233536121,0
0.23391073,0
0.234285339,2
0.234659949,0
0.235034558,0
0.235409167,0
0.235783777,0
0.236158386,0
0.236532995,0
0.236907605,0
0.237282214,0
0.237656823,0
0.238031433,0
0.238406042,0
0.238780651,0
0.239155261,0
0.23952987,0
0.239904479,0
0.240279089,0
0.240653698,1
0.241028307,0
0.241402917,0
0.241777526,0
0.242152135,0
0.242526745,0
0.242901354,0
0.243275963,0
0.243650573,0
0.244025182,0
0.244399791,0
0.244774401,0
0.24514901,0
0.245523619,0
0.245898229,0
0.246272838,0
0.246647448,0
0.247022057,0
0.247396666,0
0.247771276,0
0.248145885,0
0.248520494,0
0.248895104,0
0.249269713,0
0.249644322,0
0.250018932,0
0.250393541,0
0.25076815,0
0.25114276,0
0.251517369,0
0.251891978,0
0.252266588,1
0.252641197,0
0.253015806,0
0.253390416,0
0.253765025,0
0.254139634,0
0.254514244,0
0.254888853,0
0.255263462,0
0.255638072,0
0.256012681,1
